,model,accuracy,precision,recall,f1,roc_auc,cv_mean,cv_std,train_time_sec,inference_time_sec,model_size_kb,latency,throughput,efficiency,stability,interpretability
9,AdaBoost_light,0.9969230769230769,1.0,0.9936143039591315,0.9967969250480462,0.9999772481138686,0.9981534908509504,0.0010435927717812382,0.21597867604577914,0.009545712964609265,28.630859375,5.874284901298009e-06,170233.48659494458,0.034819879622390026,958.228177733703,3
20,KNN_15,0.9950769230769231,1.0,0.9897828863346104,0.9948652118100129,0.9999772481138686,0.9935371587611772,0.0026478548030084968,0.0021086420165374875,0.02941376401577145,1067.2919921875,1.8100777855859354e-05,55246.244551655705,0.0009323380390378772,377.6642128804791,3
1,DecisionTree_shallow,0.9938461538461538,0.987389659520807,1.0,0.9936548223350253,0.9998331528350366,0.9932292295848878,0.002031822127644117,0.005742227018345147,0.0010564709664322436,3.4541015625,6.501359793429192e-07,1538139.7611783957,0.28772927948500465,492.16906657055296,3
2,DecisionTree_pruned,0.9932307692307693,0.9936061381074168,0.9923371647509579,0.9929712460063898,0.9998627302870075,0.9935383431041629,0.004285500627989066,0.006168395979329944,0.0010551700252108276,3.765625,6.493354001297401e-07,1540036.1659016213,0.263762527928503,233.34496638943236,3
22,SVC_linear,0.9741538461538461,0.9613947696139477,0.9859514687100894,0.9735182849936949,0.984378554982208,0.9750739622194586,0.0030170219617735475,3.2441859079990536,0.018447196984197944,122.203125,1.135212122104489e-05,88089.26371805924,0.007971595212101541,331.4526750783587,3
12,LogReg_weak_reg,0.968,0.9632446134347274,0.9706257982120051,0.9669211195928753,0.9934004362294967,0.9681485166104105,0.002515052499578331,1.0038180879782885,0.0016743569867685437,1.2275390625,1.0303735303191038e-06,970521.8258958019,0.7885696101829753,397.60601425523254,3
11,LogReg_strong_reg,0.9507692307692308,0.9443742098609356,0.9540229885057471,0.9491740787801779,0.9822004410832325,0.9498390477882396,0.005288385591083011,0.23683435400016606,0.0017036619829013944,1.234375,1.0484073740931658e-06,953827.705442232,0.7702434274586174,189.09362465667135,3
13,Ridge_alpha_small,0.9452307692307692,0.9414758269720102,0.9450830140485313,0.9432759719566602,,0.9387607034997336,0.005175728099800086,0.00781406497117132,0.0020332300337031484,1.2578125,1.2512184822788605e-06,799220.9307671726,0.7514878165312948,193.20953124230488,3
17,LDA_svd,0.9452307692307692,0.9414758269720102,0.9450830140485313,0.9432759719566602,0.9793746568257176,0.9387607034997336,0.005175728099800086,0.016083705006167293,0.0013010109541937709,1.96484375,8.006221256577052e-07,1249028.6840105841,0.4810717235051231,193.20953124230488,3
18,LDA_lsqr,0.9452307692307692,0.9414758269720102,0.9450830140485313,0.9432759719566602,0.9793746568257176,0.9387607034997336,0.005175728099800086,0.014076780003961176,0.0013173139886930585,4.681640625,8.106547622726514e-07,1233570.7461910464,0.20190160777895447,193.20953124230488,3
14,Ridge_alpha_large,0.944,0.9413265306122449,0.9425287356321839,0.9419272495213784,,0.9378376265766567,0.005215213726650056,0.00868900801287964,0.001433631987310946,1.2509765625,8.822350691144283e-07,1133484.7536765705,0.7546104605776737,191.746695804611,3
15,GaussianNB_default,0.916923076923077,0.9438356164383561,0.879948914431673,0.9107732980832782,0.9334568002354062,0.9072154912062533,0.006407062022807462,0.003934036998543888,0.001386624004226178,1.580078125,8.533070795238018e-07,1171911.0552300373,0.5803023675953218,156.07777737132275,3
16,GaussianNB_smoothed,0.916923076923077,0.9438356164383561,0.879948914431673,0.9107732980832782,0.9334568002354062,0.9072154912062533,0.006407062022807462,0.003225822001695633,0.001379524008370936,1.580078125,8.489378513051913e-07,1177942.529553323,0.5803023675953218,156.07777737132275,3
